name x y
1 424.2101247151681 -3222.1957994648837
2 1243.7211551865419 -3002.608480661682
3 1978.474644278342 -2578.398355946514
4 2578.398355946514 -1978.474644278342
5 3002.608480661682 -1243.7211551865419
6 3222.1957994648837 -424.21012471516764
7 3222.1957994648837 424.21012471516764
8 3002.608480661682 1243.7211551865419
9 2578.398355946514 1978.474644278342
10 1978.474644278342 2578.398355946514
11 1243.7211551865419 3002.608480661682
12 424.2101247151681 3222.1957994648837
13 -424.2101247151677 3222.1957994648837
14 -1243.7211551865416 3002.608480661682
15 -1978.474644278342 2578.398355946514
16 -2578.3983559465137 1978.4746442783428
17 -3002.608480661682 1243.7211551865419
18 -3222.1957994648837 424.2101247151675
19 -3222.195799464884 -424.2101247151668
20 -3002.608480661682 -1243.7211551865414
21 -2578.398355946514 -1978.474644278342
22 -1978.4746442783428 -2578.3983559465137
23 -1243.721155186541 -3002.6084806616823
24 -424.2101247151678 -3222.1957994648837
25 339.3680997721344 -2577.756639571907
26 994.9769241492336 -2402.0867845293456
27 1582.7797154226737 -2062.7186847572116
28 2062.7186847572116 -1582.7797154226737
29 2402.0867845293456 -994.9769241492335
30 2577.756639571907 -339.3680997721341
31 2577.756639571907 339.3680997721341
32 2402.0867845293456 994.9769241492335
33 2062.7186847572116 1582.7797154226737
34 1582.7797154226737 2062.7186847572116
35 994.9769241492336 2402.0867845293456
36 339.3680997721344 2577.756639571907
37 -339.36809977213414 2577.756639571907
38 -994.9769241492332 2402.0867845293456
39 -1582.7797154226737 2062.7186847572116
40 -2062.7186847572107 1582.7797154226744
41 -2402.0867845293456 994.9769241492336
42 -2577.756639571907 339.36809977213403
43 -2577.7566395719073 -339.36809977213346
44 -2402.0867845293456 -994.9769241492331
45 -2062.7186847572116 -1582.7797154226737
46 -1582.7797154226744 -2062.7186847572107
47 -994.9769241492327 -2402.086784529346
48 -339.36809977213426 -2577.756639571907
49 245.38924137369722 -1863.9163393827635
50 719.4448528463689 -1736.893521121219
51 1144.4714865363949 -1491.504279747522
52 1491.504279747522 -1144.4714865363949
53 1736.893521121219 -719.4448528463688
54 1863.9163393827635 -245.38924137369696
55 1863.9163393827635 245.38924137369696
56 1736.893521121219 719.4448528463688
57 1491.504279747522 1144.4714865363949
58 1144.4714865363949 1491.504279747522
59 719.4448528463689 1736.893521121219
60 245.38924137369722 1863.9163393827635
61 -245.38924137369702 1863.9163393827635
62 -719.4448528463687 1736.893521121219
63 -1144.4714865363949 1491.504279747522
64 -1491.5042797475217 1144.4714865363953
65 -1736.893521121219 719.4448528463689
66 -1863.9163393827635 245.3892413736969
67 -1863.9163393827637 -245.38924137369648
68 -1736.893521121219 -719.4448528463686
69 -1491.504279747522 -1144.4714865363949
70 -1144.4714865363953 -1491.5042797475217
71 -719.4448528463682 -1736.8935211212192
72 -245.38924137369708 -1863.9163393827635
73 157.93669258626258 -1199.6482822623107
74 463.0469531617587 -1117.894234338657
75 736.601329100552 -959.9575417523946
76 959.9575417523946 -736.601329100552
77 1117.894234338657 -463.0469531617586
78 1199.6482822623107 -157.9366925862624
79 1199.6482822623107 157.9366925862624
80 1117.894234338657 463.0469531617586
81 959.9575417523946 736.601329100552
82 736.601329100552 959.9575417523946
83 463.0469531617587 1117.894234338657
84 157.93669258626258 1199.6482822623107
85 -157.93669258626244 1199.6482822623107
86 -463.04695316175855 1117.894234338657
87 -736.601329100552 959.9575417523946
88 -959.9575417523943 736.6013291005522
89 -1117.894234338657 463.0469531617587
90 -1199.6482822623107 157.93669258626238
91 -1199.6482822623107 -157.9366925862621
92 -1117.894234338657 -463.0469531617585
93 -959.9575417523946 -736.601329100552
94 -736.6013291005522 -959.9575417523943
95 -463.0469531617583 -1117.894234338657
96 -157.93669258626247 -1199.6482822623107
